T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.11000,1.00000,0.82502,0.77662,0.75862,0.75046,0.74621,0.74380,0.74242,0.74147,0.74083,0.74034,0.74003,0.73967,0.73962,0.73954,0.73951,0.73944,0.73947,0.73931,0.73932,0.73950,0.73955,0.73935,0.73919,0.73919,0.73922
1.28000,1.00000,0.99133,0.99087,0.99084,0.99083,0.99083,0.99083,0.99083,0.99084,0.99082,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083,0.99083
2.96000,1.00000,0.41825,0.20386,0.10918,0.06192,0.03638,0.02124,0.01245,0.00709,0.00440,0.00314,0.00208,0.00120,0.00069,0.00049,-0.00007,-0.00088,-0.00080,-0.00061,-0.00079,-0.00061,-0.00026,0.00029,0.00120,0.00167,0.00200
2.12000,1.00000,0.82213,0.77339,0.75561,0.74781,0.74393,0.74191,0.74097,0.74027,0.73983,0.73970,0.73965,0.73964,0.73966,0.73974,0.73977,0.73991,0.73997,0.74009,0.74005,0.73990,0.73959,0.73962,0.73954,0.73946,0.73951
1.29000,1.00000,0.99056,0.99006,0.99003,0.99003,0.99003,0.99003,0.99003,0.99003,0.99003,0.99002,0.99003,0.99003,0.99003,0.99003,0.99003,0.99004,0.99003,0.99004,0.99002,0.99003,0.99003,0.99003,0.99003,0.99003,0.99003
2.97000,1.00000,0.41634,0.20199,0.10723,0.05974,0.03424,0.02006,0.01208,0.00671,0.00365,0.00180,0.00076,0.00108,0.00087,0.00004,-0.00006,-0.00041,-0.00096,-0.00159,-0.00171,-0.00148,-0.00125,-0.00131,-0.00120,-0.00164,-0.00189
2.13000,1.00000,0.81698,0.76593,0.74689,0.73826,0.73373,0.73135,0.72989,0.72904,0.72844,0.72807,0.72795,0.72808,0.72811,0.72811,0.72811,0.72819,0.72810,0.72801,0.72790,0.72786,0.72781,0.72770,0.72745,0.72744,0.72742
1.30000,1.00000,0.99007,0.98954,0.98952,0.98950,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98952,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951,0.98951
2.98000,1.00000,0.41194,0.19676,0.10262,0.05645,0.03233,0.01951,0.01191,0.00728,0.00455,0.00265,0.00152,0.00064,0.00023,-0.00009,-0.00046,-0.00049,-0.00074,-0.00053,-0.00005,0.00041,0.00121,0.00125,0.00096,0.00060,0.00022
2.14000,1.00000,0.80935,0.75390,0.73234,0.72210,0.71672,0.71361,0.71169,0.71031,0.70947,0.70915,0.70888,0.70861,0.70844,0.70827,0.70822,0.70808,0.70784,0.70790,0.70808,0.70827,0.70850,0.70857,0.70854,0.70851,0.70847
1.31000,1.00000,0.98954,0.98899,0.98895,0.98896,0.98895,0.98896,0.98895,0.98895,0.98895,0.98896,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98895,0.98896,0.98896,0.98895
2.99000,1.00000,0.41013,0.19529,0.10188,0.05590,0.03212,0.01916,0.01234,0.00812,0.00585,0.00455,0.00373,0.00275,0.00171,0.00154,0.00126,0.00067,0.00075,0.00025,-0.00041,-0.00071,-0.00100,-0.00092,-0.00065,-0.00031,-0.00033
2.15000,1.00000,0.80881,0.75449,0.73429,0.72550,0.72152,0.71949,0.71842,0.71774,0.71717,0.71691,0.71665,0.71658,0.71658,0.71663,0.71670,0.71673,0.71663,0.71673,0.71663,0.71665,0.71668,0.71671,0.71676,0.71671,0.71671
1.32000,1.00000,0.98898,0.98835,0.98832,0.98831,0.98831,0.98831,0.98831,0.98832,0.98831,0.98831,0.98832,0.98832,0.98831,0.98832,0.98832,0.98832,0.98831,0.98831,0.98831,0.98831,0.98832,0.98832,0.98831,0.98832,0.98832
