T,E,M,M_abs,Cv,Chim,Chim_abs
1.64000,-4593.3143596821,0.9762279281,0.9762279281,742.1882970246,133.9818157835,133.9818157835
3.32000,-1568.5446019202,0.0000471725,0.0436067089,729.4940599874,5500.8078567076,1921.0961882764
2.48000,-2615.5352070495,0.0876609952,0.1259639122,2221.7417138197,42177.1119926282,21556.0003609792
1.65000,-4583.3397245019,0.9748727347,0.9748727347,817.1612612677,150.5074072601,150.5074072601
3.33000,-1565.2246649595,0.0018744065,0.0447899808,676.5035424514,5959.2176102933,2200.5295843534
2.49000,-2598.4514985671,0.0014135359,0.1097876104,2283.3662742498,49683.3148963720,19434.0143929464
1.66000,-4579.8152742690,0.9744495535,0.9744495535,727.8104798320,135.9994408360,135.9994408360
3.34000,-1553.5635993589,0.0034973758,0.0422667774,752.1114372981,5286.1280560198,1966.0516433966
2.50000,-2580.9549635291,0.1002095466,0.1353215961,2032.7090183446,46900.0189448677,26225.0660739162
1.67000,-4568.8217257846,0.9729844801,0.9729844801,787.5218904955,152.0385537079,152.0385537079
3.35000,-1546.2001782393,0.0025970004,0.0397347866,720.8609679877,4725.5049505557,1792.4660381573
2.51000,-2533.8906780874,0.0019660851,0.1257863220,2147.7483487462,59552.9939918249,20164.7138425446
1.68000,-4563.9496870730,0.9725212933,0.9725212933,820.4481489109,155.9245473123,155.9245473123
3.36000,-1543.0706934401,0.0067710236,0.0419196857,725.4886700662,5020.5155913969,1837.0831343537
2.52000,-2504.3215030484,0.0414631236,0.1046809257,1981.1268894886,38311.3339032545,15397.3815538342
1.69000,-4549.8376541068,0.9707097188,0.9707097188,836.5987758030,166.8738255123,166.8738255123
3.37000,-1535.5322217593,0.0022062783,0.0441789208,672.2640961810,5502.1306746165,1891.3937010863
2.53000,-2507.0689961676,0.0273979256,0.1103529906,2051.3773147787,39446.0222118624,11216.9307993678
1.70000,-4544.2621712188,0.9698813058,0.9698813058,886.1720485297,182.1123042095,182.1123042095
3.38000,-1530.2554595172,0.0003792987,0.0418303101,688.5666788720,5047.0229186972,1811.7585340106
2.54000,-2474.0255376071,0.0347948900,0.1121748863,2114.5121665891,45821.4977200782,17837.9328797733
1.71000,-4535.8711811353,0.9687803888,0.9687803888,871.4042893256,180.9620280205,180.9620280205
3.39000,-1518.3631708790,0.0062124161,0.0411392729,699.0452891144,4841.3108224942,1792.1853412108
2.55000,-2464.5502038526,0.0040046205,0.0871924189,1816.3636501798,28644.7821362169,10050.4661435718
1.72000,-4527.3173520165,0.9676912712,0.9676912712,863.2187168955,192.5242549215,192.5242549215
3.40000,-1517.2439504000,0.0013524434,0.0421844460,635.0352626433,5075.0664547758,1807.2385556255
2.56000,-2437.5014960107,0.0377251390,0.0942935549,1708.9058994729,32394.1452535440,14161.5076100498
1.73000,-4520.1628883358,0.9668113762,0.9668113762,889.8699767617,185.4237325344,185.4237325344
3.41000,-1510.4029763170,0.0084124070,0.0451270922,664.4967944674,5623.1629741323,2020.3663178235
2.57000,-2418.7968128101,0.0503128406,0.0943757728,1912.8070851172,29972.3279967096,14467.9394635759
1.74000,-4507.7161088121,0.9650484910,0.9650484910,959.5035481964,215.8993821398,215.8993821398
3.42000,-1501.8670182379,0.0036481110,0.0405517852,631.6001816850,4712.8020186806,1731.9201281394
2.58000,-2396.6895196923,0.0304221575,0.0992875599,2020.8518013161,34213.3790020044,12574.5420877520
1.75000,-4500.9182352066,0.9642309979,0.9642309979,912.7613626013,206.4498180055,206.4498180055
3.43000,-1494.8746543997,0.0007016557,0.0423772381,626.8765552395,5167.1612181858,1895.7727588267
2.59000,-2389.4119225679,0.0283855778,0.1027995550,1721.9876098143,35656.9395569718,12099.9716917532
1.76000,-4488.4057459243,0.9624856151,0.9624856151,1054.3495717301,239.7683332632,239.7683332632
3.44000,-1491.7953103978,0.0089573164,0.0421300560,635.0194803429,4959.6268539024,1880.5787049596
2.60000,-2357.9533398444,0.0073721838,0.0724326538,1632.4130999595,19124.0257612867,6642.9194009326
1.77000,-4480.0127737624,0.9612115910,0.9612115910,1089.3107119159,253.7744742055,253.7744742055
3.45000,-1486.2608822370,0.0042463011,0.0399462128,668.0443846438,4506.7096067521,1648.6138751453
2.61000,-2359.3016976062,0.0299911116,0.1085382575,1754.8038374282,43606.5732426948,17550.3314821883
1.78000,-4470.1227808024,0.9598386177,0.9598386177,1102.9993285450,273.9631703474,273.9631703474
3.46000,-1472.0158431985,0.0037981694,0.0395834255,653.7958019115,4518.4509530195,1714.2213987668
2.62000,-2334.5523670463,0.0182902959,0.1060398663,1890.3921906075,39233.9929811008,13208.4244630658
1.79000,-4462.2648220872,0.9589354870,0.9589354870,967.3218427391,229.4207999613,229.4207999613
3.47000,-1463.1703590378,0.0026964161,0.0388711926,621.4638868312,4229.4718910109,1521.0804062476
2.63000,-2315.6214659254,0.0062368658,0.0931186481,1660.4261383728,32818.0246819309,12304.2791438884
1.80000,-4450.4537148721,0.9570564147,0.9570564147,1112.6345981947,294.7816944091,294.7816944091
3.48000,-1460.3803977575,0.0033932208,0.0396674403,644.4705536669,4337.6674176449,1532.3659195503
2.64000,-2302.6294761653,0.0410821370,0.0960288417,1648.3714982259,28859.3493372908,11023.6569450360
1.81000,-4432.1993558303,0.9547228124,0.9547228124,1162.0670678568,309.7044115505,309.7044115505
3.49000,-1456.8156639991,0.0001560227,0.0400706145,618.7087461755,4561.8645691009,1686.4530261796
2.65000,-2284.1816336018,0.0166348240,0.0806746707,1517.6011663832,21954.2845660079,7256.9140094575
1.82000,-4429.6533596760,0.9544893377,0.9544893377,1095.8247390967,276.1445508978,276.1445508978
3.50000,-1451.7533705579,0.0015786129,0.0372286744,604.3494060129,3902.8717165047,1432.3678211825
2.66000,-2272.8011548819,0.0044376516,0.0794780521,1682.0852907252,22372.8005847702,7577.0580719860
1.83000,-4415.8804060814,0.9524929734,0.9524929734,1136.7557507243,301.9185057673,301.9185057673
2.67000,-2256.5279475216,0.0080578742,0.0784690730,1728.9121281082,22809.0490777332,8547.6584551257
