T,0,1,2,3,4,5,6,7,8,9,10
3.24000,1.00000,0.36779,0.15556,0.07159,0.03486,0.01698,0.00849,0.00364,0.00197,0.00093,0.00132
2.40000,1.00000,0.61200,0.45042,0.36270,0.30586,0.26576,0.23767,0.21676,0.20158,0.19207,0.18863
1.57000,1.00000,0.96640,0.96295,0.96258,0.96247,0.96249,0.96248,0.96246,0.96242,0.96245,0.96249
3.25000,1.00000,0.36665,0.15413,0.07096,0.03409,0.01688,0.00710,0.00190,-0.00067,-0.00153,-0.00250
2.41000,1.00000,0.61673,0.46073,0.37849,0.32682,0.29187,0.26813,0.25052,0.23873,0.23154,0.22945
1.58000,1.00000,0.96693,0.96358,0.96316,0.96309,0.96313,0.96310,0.96310,0.96317,0.96309,0.96306
3.26000,1.00000,0.36567,0.15402,0.07060,0.03514,0.01905,0.01075,0.00650,0.00427,0.00342,0.00366
2.42000,1.00000,0.59429,0.42334,0.33125,0.27281,0.23189,0.20271,0.18147,0.16788,0.16044,0.15850
1.59000,1.00000,0.96508,0.96126,0.96073,0.96065,0.96065,0.96062,0.96067,0.96070,0.96066,0.96066
3.27000,1.00000,0.36154,0.14997,0.06765,0.03207,0.01592,0.00798,0.00420,0.00142,0.00090,0.00100
2.43000,1.00000,0.60917,0.45041,0.36739,0.31706,0.28390,0.26071,0.24608,0.23713,0.23230,0.23079
1.60000,1.00000,0.96424,0.96053,0.96009,0.96008,0.96015,0.96017,0.96015,0.96016,0.96007,0.96004
2.44000,1.00000,0.58678,0.41236,0.31825,0.26064,0.22256,0.19672,0.17951,0.16922,0.16491,0.16398
3.28000,1.00000,0.35854,0.14682,0.06680,0.03348,0.01787,0.01058,0.00743,0.00532,0.00444,0.00621
1.61000,1.00000,0.96321,0.95899,0.95858,0.95844,0.95844,0.95844,0.95847,0.95848,0.95844,0.95836
3.29000,1.00000,0.36008,0.14955,0.06716,0.03143,0.01590,0.00893,0.00672,0.00513,0.00418,0.00371
2.45000,1.00000,0.57899,0.39812,0.29770,0.23157,0.18405,0.14894,0.12363,0.10689,0.09771,0.09448
1.62000,1.00000,0.96089,0.95644,0.95586,0.95578,0.95577,0.95581,0.95578,0.95579,0.95575,0.95574
3.30000,1.00000,0.35470,0.14137,0.06061,0.02718,0.01198,0.00420,-0.00008,-0.00134,-0.00140,-0.00136
2.46000,1.00000,0.58012,0.40609,0.31275,0.25430,0.21445,0.18668,0.16774,0.15634,0.15009,0.14845
1.63000,1.00000,0.96123,0.95713,0.95659,0.95657,0.95660,0.95659,0.95657,0.95650,0.95661,0.95664
3.31000,1.00000,0.35625,0.14463,0.06313,0.02851,0.01286,0.00616,0.00281,0.00225,0.00096,0.00179
2.47000,1.00000,0.57621,0.40084,0.30817,0.25209,0.21512,0.19089,0.17348,0.16192,0.15553,0.15279
1.64000,1.00000,0.95806,0.95299,0.95220,0.95209,0.95208,0.95208,0.95203,0.95213,0.95209,0.95206
3.32000,1.00000,0.35280,0.14085,0.05993,0.02682,0.01237,0.00627,0.00401,0.00318,0.00216,0.00113
2.48000,1.00000,0.56570,0.38318,0.28529,0.22438,0.18328,0.15453,0.13485,0.12160,0.11438,0.11248
1.65000,1.00000,0.95673,0.95161,0.95070,0.95043,0.95029,0.95018,0.95025,0.95022,0.95027,0.95030
3.33000,1.00000,0.35405,0.14372,0.06480,0.03037,0.01535,0.00698,0.00096,-0.00057,-0.00219,-0.00229
2.49000,1.00000,0.55402,0.36362,0.25892,0.19143,0.14374,0.10849,0.08247,0.06381,0.05336,0.04949
1.66000,1.00000,0.95638,0.95097,0.94998,0.94984,0.94977,0.94982,0.94976,0.94982,0.94988,0.94984
2.50000,1.00000,0.55747,0.37207,0.27285,0.21100,0.16852,0.13846,0.11691,0.10191,0.09324,0.09009
3.34000,1.00000,0.35040,0.13870,0.05860,0.02464,0.00945,0.00290,0.00042,-0.00030,-0.00017,0.00011
