T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1.07000,1.00000,0.99756,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750,0.99750
2.97000,1.00000,0.41496,0.20035,0.10592,0.05924,0.03445,0.02057,0.01256,0.00779,0.00485,0.00291,0.00178,0.00082,0.00002,-0.00033,-0.00041,-0.00023,-0.00014,0.00003,0.00027,0.00052,0.00064,0.00079,0.00077,0.00067,0.00046,0.00016,-0.00012,-0.00007,-0.00016,-0.00030,-0.00047,-0.00062,-0.00085,-0.00087,-0.00120,-0.00110,-0.00068,-0.00007,0.00017,0.00008,-0.00012,-0.00015,-0.00048,-0.00089,-0.00128,-0.00146,-0.00161,-0.00179,-0.00200,-0.00205
2.34000,1.00000,0.64157,0.49093,0.40621,0.34886,0.30610,0.27226,0.24465,0.22161,0.20187,0.18484,0.17015,0.15721,0.14559,0.13536,0.12628,0.11827,0.11101,0.10444,0.09883,0.09386,0.08931,0.08553,0.08205,0.07909,0.07674,0.07495,0.07377,0.07290,0.07230,0.07190,0.07145,0.07123,0.07096,0.07083,0.07086,0.07088,0.07101,0.07128,0.07170,0.07190,0.07184,0.07192,0.07179,0.07161,0.07137,0.07107,0.07090,0.07079,0.07059,0.07061
1.71000,1.00000,0.94797,0.94108,0.93998,0.93976,0.93973,0.93970,0.93970,0.93970,0.93971,0.93971,0.93970,0.93970,0.93970,0.93969,0.93972,0.93972,0.93973,0.93972,0.93971,0.93971,0.93970,0.93970,0.93970,0.93971,0.93971,0.93972,0.93973,0.93971,0.93971,0.93970,0.93971,0.93971,0.93971,0.93972,0.93970,0.93971,0.93972,0.93971,0.93972,0.93972,0.93973,0.93972,0.93971,0.93973,0.93972,0.93972,0.93971,0.93970,0.93970,0.93970
1.08000,1.00000,0.99735,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728,0.99728
2.98000,1.00000,0.41283,0.19764,0.10342,0.05706,0.03264,0.01911,0.01160,0.00719,0.00434,0.00255,0.00136,0.00060,0.00044,0.00026,0.00024,0.00026,0.00033,0.00007,-0.00021,-0.00031,-0.00034,-0.00026,-0.00042,-0.00051,-0.00030,-0.00015,0.00004,-0.00009,-0.00013,0.00008,0.00019,-0.00018,-0.00043,-0.00048,-0.00033,-0.00012,-0.00008,-0.00016,-0.00009,0.00001,0.00027,0.00058,0.00061,0.00059,0.00058,0.00047,0.00028,0.00011,0.00015,0.00023
2.35000,1.00000,0.62901,0.47050,0.38014,0.31848,0.27208,0.23531,0.20506,0.17959,0.15787,0.13918,0.12296,0.10873,0.09654,0.08623,0.07729,0.06948,0.06236,0.05585,0.05013,0.04515,0.04087,0.03701,0.03335,0.02997,0.02678,0.02377,0.02092,0.01825,0.01570,0.01336,0.01111,0.00888,0.00684,0.00504,0.00348,0.00198,0.00061,-0.00073,-0.00188,-0.00276,-0.00378,-0.00478,-0.00569,-0.00601,-0.00619,-0.00627,-0.00662,-0.00689,-0.00694,-0.00717
1.72000,1.00000,0.94557,0.93812,0.93689,0.93663,0.93655,0.93654,0.93654,0.93653,0.93654,0.93655,0.93656,0.93656,0.93655,0.93655,0.93655,0.93654,0.93655,0.93656,0.93656,0.93655,0.93655,0.93654,0.93655,0.93656,0.93655,0.93655,0.93654,0.93655,0.93654,0.93654,0.93655,0.93654,0.93655,0.93657,0.93653,0.93654,0.93655,0.93654,0.93656,0.93655,0.93656,0.93656,0.93654,0.93653,0.93654,0.93655,0.93655,0.93655,0.93655,0.93654
1.09000,1.00000,0.99714,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706,0.99706
2.99000,1.00000,0.41004,0.19475,0.10101,0.05533,0.03123,0.01797,0.01021,0.00566,0.00323,0.00194,0.00125,0.00084,0.00037,0.00020,0.00025,0.00010,-0.00006,-0.00006,0.00036,0.00053,0.00085,0.00108,0.00121,0.00109,0.00090,0.00087,0.00104,0.00104,0.00112,0.00117,0.00098,0.00063,0.00038,-0.00001,-0.00018,0.00001,0.00014,0.00009,0.00015,0.00021,0.00015,0.00003,0.00017,0.00041,0.00064,0.00094,0.00073,0.00037,0.00039,0.00023
